# Barème Macron — art. L1235-3 C. trav. — valeurs vérifiées 2026-06-09
# Source primaire : Légifrance LEGIARTI000036762052 (bloque les bots → table
# reproduite et reparsée déterministe depuis cegedim-business-services.com,
# recoupée avec open.lefebvre-dalloz.fr et service-public). Table 2 confirmée
# identique sur 3 lectures indépendantes. Table 1 vérifiée arithmétiquement
# cohérente (doublon à 7-8 ans = 8 mois ; saut +1 à 14→15 ans ; atteint 20 à 29).
#
# Table 1 — entreprises >= 11 salariés : ancienneté | min (mois) | max (mois)
0  | -   | 1
1  | 1   | 2
2  | 3   | 3,5
3  | 3   | 4
4  | 3   | 5
5  | 3   | 6
6  | 3   | 7
7  | 3   | 8
8  | 3   | 8
9  | 3   | 9
10 | 3   | 10
11 | 3   | 10,5
12 | 3   | 11
13 | 3   | 11,5
14 | 3   | 12
15 | 3   | 13
16 | 3   | 13,5
17 | 3   | 14
18 | 3   | 14,5
19 | 3   | 15
20 | 3   | 15,5
21 | 3   | 16
22 | 3   | 16,5
23 | 3   | 17
24 | 3   | 17,5
25 | 3   | 18
26 | 3   | 18,5
27 | 3   | 19
28 | 3   | 19,5
29 et au-delà | 3 | 20
#
# Table 2 — entreprises < 11 salariés (plancher, années 0-10 ; au-delà = min commun 3 mois)
0  | -
1  | 0,5
2  | 0,5
3  | 1
4  | 1
5  | 1,5
6  | 1,5
7  | 2
8  | 2
9  | 2,5
10 | 2,5
